MAC125,MAC112,MAC47,MAC22,MAC226,MAC79,MAC18,MAC208,MAC12,MAC81,MAC224,MAC70,MAC90,MAC76,MAC120,MAC128,MAC17,MAC31,MAC63,MAC34,MAC24,MAC32,MAC8,MAC340,MAC108,MAC77,MAC25,MAC141,MAC56,MAC33,MAC133,MAC9,MAC82,MAC213,MAC53,MAC75,MAC61,MAC84,MAC105,MAC14,MAC26,MAC46,MAC4,MAC40,MAC23,MAC6,ECoord,NCoord,FloorID,BuildingID,SceneID,UserID,PhoneID,SampleTimes
-105,-105,-105,-55,-105,-105,-74,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-65,-105,-64,-105,-105,-49,-105,-105,-105,-57,-105,-105,-69,-105,-73,-105,-105,-105,-105,-105,-105,-105,-105,-62,-105,-67,-74,-67,-49,19.03,20.05,4,3,1,1,1,1
-105,-105,-105,-49,-105,-105,-71,-105,-56,-105,-105,-105,-105,-105,-105,-105,-67,-105,-105,-105,-105,-105,-37,-105,-105,-105,-63,-105,-105,-83,-105,-73,-105,-105,-105,-105,-105,-105,-105,-86,-66,-105,-105,-82,-72,-51,19.03,18.85,4,3,1,1,1,1
-105,-105,-103,-48,-105,-105,-73,-105,-64,-105,-105,-105,-105,-105,-105,-105,-70,-105,-105,-102,-98,-97,-37,-105,-105,-105,-63,-105,-105,-83,-105,-77,-105,-105,-105,-105,-105,-105,-105,-87,-69,-105,-98,-81,-72,-50,20.23,20.05,4,3,1,1,1,1
-105,-105,-82,-45,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-61,-61,-57,-39,-105,-105,-105,-63,-105,-105,-83,-105,-79,-105,-105,-105,-105,-105,-105,-105,-78,-105,-105,-61,-73,-71,-43,20.23,18.85,4,3,1,1,1,1
-105,-105,-105,-60,-105,-105,-66,-105,-53,-105,-105,-105,-105,-105,-105,-105,-65,-105,-71,-57,-57,-105,-55,-105,-105,-105,-62,-105,-105,-76,-105,-73,-105,-105,-105,-105,-105,-105,-105,-81,-105,-105,-67,-105,-105,-49,21.43,20.05,4,3,1,1,1,1
-105,-105,-105,-56,-105,-105,-73,-105,-87,-105,-105,-105,-105,-105,-105,-105,-93,-105,-95,-91,-91,-74,-43,-105,-105,-105,-66,-105,-105,-82,-105,-78,-105,-105,-92,-105,-105,-105,-105,-80,-80,-105,-71,-105,-79,-47,21.43,18.85,4,3,1,1,1,1
-105,-105,-105,-42,-105,-52,-60,-105,-52,-105,-105,-105,-105,-105,-105,-105,-105,-62,-105,-54,-59,-51,-34,-105,-105,-67,-48,-105,-65,-66,-105,-47,-77,-105,-105,-72,-105,-90,-105,-72,-63,-78,-67,-60,-60,-32,22.63,20.05,4,3,1,1,1,1
-105,-105,-105,-79,-105,-105,-64,-105,-71,-85,-105,-105,-105,-87,-105,-105,-105,-105,-81,-74,-105,-60,-35,-105,-105,-105,-49,-105,-89,-85,-105,-50,-90,-105,-75,-105,-105,-105,-105,-73,-76,-92,-67,-61,-75,-38,22.63,18.85,4,3,1,1,1,1
-105,-105,-105,-45,-105,-105,-105,-105,-52,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-37,-105,-105,-105,-44,-105,-69,-58,-105,-53,-105,-105,-73,-105,-105,-105,-105,-73,-64,-74,-66,-59,-61,-40,23.83,20.05,4,3,1,1,1,1
-105,-105,-105,-33,-105,-105,-63,-105,-49,-105,-105,-105,-105,-105,-105,-105,-60,-52,-105,-105,-60,-105,-44,-105,-105,-105,-36,-105,-69,-74,-105,-55,-83,-105,-69,-77,-105,-105,-105,-73,-63,-74,-65,-70,-105,-49,23.83,18.85,4,3,1,1,1,1
-105,-105,-105,-33,-105,-105,-63,-105,-49,-105,-105,-105,-105,-105,-105,-105,-60,-52,-105,-105,-60,-105,-44,-105,-105,-105,-36,-105,-69,-74,-105,-55,-83,-105,-69,-77,-105,-105,-105,-73,-63,-74,-65,-70,-105,-49,25.03,20.05,4,3,1,1,1,1
-105,-105,-105,-38,-105,-105,-62,-105,-47,-105,-105,-105,-105,-105,-105,-105,-56,-46,-105,-46,-51,-54,-40,-105,-105,-105,-46,-105,-71,-80,-105,-54,-105,-105,-77,-77,-105,-105,-105,-67,-65,-73,-70,-65,-72,-48,25.03,18.85,4,3,1,1,1,1
-105,-105,-105,-38,-105,-105,-62,-105,-47,-105,-105,-105,-105,-105,-105,-105,-58,-46,-105,-46,-53,-56,-40,-105,-105,-105,-46,-105,-71,-80,-105,-54,-105,-105,-77,-77,-105,-105,-105,-67,-65,-73,-71,-65,-72,-48,26.23,20.05,4,3,1,1,1,1
-105,-105,-105,-38,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-61,-55,-28,-105,-105,-105,-53,-105,-68,-105,-105,-53,-84,-105,-80,-83,-86,-105,-105,-70,-105,-79,-73,-67,-72,-38,26.23,18.85,4,3,1,1,1,1
-105,-105,-105,-32,-105,-58,-69,-105,-51,-105,-105,-59,-105,-105,-105,-105,-105,-54,-105,-105,-105,-105,-33,-105,-105,-105,-64,-105,-64,-105,-105,-55,-80,-105,-73,-74,-105,-105,-105,-70,-105,-73,-70,-69,-105,-49,23.83,17.05,4,3,1,1,1,1
-105,-105,-103,-35,-105,-57,-68,-105,-52,-105,-105,-60,-97,-105,-105,-105,-105,-69,-94,-105,-105,-89,-35,-105,-105,-98,-58,-105,-65,-95,-105,-52,-79,-105,-72,-73,-105,-105,-104,-69,-97,-72,-67,-67,-96,-48,25.03,17.05,4,3,1,1,1,1
-105,-105,-105,-39,-105,-105,-105,-105,-105,-105,-105,-57,-70,-105,-105,-105,-59,-105,-58,-105,-51,-49,-36,-105,-105,-76,-47,-105,-72,-73,-105,-50,-84,-105,-78,-75,-88,-105,-105,-75,-70,-74,-65,-72,-68,-48,26.23,17.05,4,3,1,1,1,1
-105,-105,-105,-24,-105,-105,-54,-105,-48,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-54,-49,-52,-41,-105,-105,-71,-45,-105,-57,-67,-105,-52,-105,-105,-70,-78,-105,-105,-105,-73,-72,-73,-68,-64,-67,-53,23.83,15.85,4,3,1,1,1,1
-105,-105,-105,-24,-105,-105,-54,-105,-48,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-54,-49,-50,-41,-105,-105,-71,-45,-105,-57,-67,-105,-52,-105,-105,-70,-78,-105,-105,-105,-73,-71,-73,-68,-64,-67,-53,25.03,15.85,4,3,1,1,1,1
-105,-105,-105,-37,-105,-105,-105,-105,-105,-105,-105,-63,-105,-105,-105,-105,-105,-105,-105,-105,-48,-51,-45,-105,-105,-80,-52,-105,-72,-68,-105,-55,-81,-105,-78,-79,-105,-105,-105,-69,-69,-105,-71,-67,-66,-47,26.23,15.85,4,3,1,1,1,1
-105,-105,-53,-25,-105,-58,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-55,-57,-105,-50,-56,-39,-33,-105,-105,-68,-47,-105,-62,-69,-105,-49,-76,-105,-73,-76,-105,-105,-105,-69,-68,-73,-69,-57,-61,-49,23.83,14.65,4,3,1,1,1,1
-105,-105,-81,-35,-105,-53,-84,-105,-77,-105,-105,-85,-105,-105,-105,-105,-59,-55,-105,-51,-52,-43,-36,-105,-95,-88,-45,-105,-59,-66,-105,-46,-91,-105,-69,-91,-95,-95,-96,-68,-65,-73,-68,-56,-63,-49,25.03,14.64,4,3,1,1,1,1
-105,-105,-105,-42,-105,-105,-55,-105,-44,-105,-105,-105,-105,-105,-105,-105,-105,-51,-105,-43,-105,-45,-35,-105,-105,-80,-42,-105,-61,-69,-105,-54,-75,-105,-74,-76,-105,-105,-105,-69,-71,-105,-71,-60,-65,-48,26.23,14.65,4,3,1,1,1,1
-105,-105,-51,-61,-105,-79,-82,-105,-42,-65,-105,-79,-105,-105,-105,-105,-65,-57,-76,-105,-66,-42,-50,-105,-105,-63,-43,-105,-55,-88,-105,-41,-64,-105,-71,-63,-94,-92,-97,-67,-69,-75,-69,-60,-61,-54,23.83,13.45,4,3,1,1,1,1
-105,-105,-51,-105,-105,-105,-105,-105,-41,-65,-105,-105,-105,-105,-105,-105,-61,-61,-105,-105,-105,-41,-55,-105,-105,-65,-43,-105,-56,-63,-105,-41,-64,-105,-72,-61,-105,-105,-82,-69,-70,-76,-66,-57,-61,-51,25.03,13.45,4,3,1,1,1,1
-105,-105,-105,-38,-105,-53,-60,-105,-40,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-56,-46,-42,-105,-105,-69,-53,-105,-65,-68,-105,-51,-73,-105,-79,-77,-105,-105,-105,-77,-68,-81,-70,-68,-105,-52,26.23,13.45,4,3,1,1,1,1
-105,-99,-65,-40,-105,-63,-90,-105,-56,-61,-105,-64,-76,-105,-95,-105,-65,-105,-105,-50,-44,-49,-47,-105,-85,-77,-46,-105,-62,-63,-105,-46,-67,-105,-71,-71,-105,-98,-105,-65,-68,-105,-68,-61,-61,-48,23.83,12.25,4,3,1,1,1,1
-105,-73,-54,-36,-105,-105,-48,-105,-105,-46,-105,-63,-105,-105,-66,-105,-105,-105,-105,-51,-47,-50,-44,-105,-82,-105,-45,-105,-68,-69,-105,-45,-59,-105,-78,-76,-105,-80,-105,-69,-105,-105,-69,-65,-68,-57,25.03,12.25,4,3,1,1,1,1
-105,-90,-77,-42,-105,-105,-49,-105,-105,-58,-105,-85,-105,-105,-87,-105,-82,-105,-105,-74,-53,-79,-46,-105,-86,-105,-51,-105,-62,-70,-105,-49,-65,-105,-77,-79,-105,-83,-105,-71,-85,-90,-72,-63,-68,-57,26.23,12.25,4,3,1,1,1,1
-105,-105,-105,-62,-105,-42,-46,-105,-28,-54,-105,-105,-61,-105,-50,-105,-105,-105,-105,-105,-105,-53,-62,-105,-71,-105,-75,-105,-57,-46,-105,-47,-56,-105,-105,-83,-105,-70,-67,-105,-82,-105,-105,-72,-105,-79,19.03,11.05,4,3,1,1,1,1
-105,-105,-105,-62,-105,-42,-46,-105,-28,-54,-105,-105,-61,-105,-50,-105,-105,-105,-105,-105,-105,-53,-62,-105,-71,-105,-75,-105,-57,-46,-105,-47,-56,-105,-105,-83,-105,-70,-67,-105,-82,-105,-105,-72,-105,-79,19.03,9.85,4,3,1,1,1,1
-105,-63,-105,-62,-105,-48,-39,-105,-34,-54,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-63,-53,-65,-105,-71,-105,-72,-105,-57,-51,-105,-45,-66,-105,-105,-105,-105,-73,-76,-81,-76,-105,-80,-66,-80,-83,20.23,11.05,4,3,1,1,1,1
-100,-67,-105,-66,-105,-53,-39,-105,-51,-53,-105,-105,-105,-105,-98,-105,-99,-96,-105,-105,-68,-53,-68,-105,-70,-105,-75,-105,-58,-50,-105,-45,-65,-105,-105,-105,-105,-72,-74,-82,-80,-105,-81,-67,-82,-88,20.23,9.85,4,3,1,1,1,1
-98,-97,-71,-97,-105,-51,-44,-105,-53,-59,-105,-105,-105,-105,-49,-105,-97,-99,-105,-105,-105,-61,-98,-105,-57,-105,-66,-105,-45,-44,-85,-44,-56,-105,-105,-83,-105,-60,-60,-79,-78,-105,-78,-57,-105,-68,21.43,11.05,4,3,1,1,1,1
-105,-105,-101,-56,-105,-47,-36,-105,-30,-55,-105,-105,-105,-105,-58,-105,-105,-105,-105,-60,-57,-54,-57,-105,-62,-105,-67,-105,-51,-51,-103,-43,-65,-105,-105,-81,-105,-70,-98,-102,-69,-105,-102,-62,-81,-98,21.43,9.85,4,3,1,1,1,1
-105,-105,-105,-50,-105,-47,-35,-105,-29,-50,-105,-105,-105,-105,-56,-105,-105,-105,-105,-55,-52,-49,-52,-105,-63,-105,-67,-105,-52,-52,-105,-43,-66,-105,-105,-81,-105,-71,-105,-105,-69,-105,-105,-63,-78,-105,22.63,11.05,4,3,1,1,1,1
-85,-105,-105,-57,-105,-37,-44,-105,-27,-51,-105,-105,-105,-105,-83,-105,-105,-105,-105,-81,-55,-87,-50,-105,-58,-89,-60,-105,-44,-49,-105,-37,-54,-105,-94,-93,-105,-66,-68,-85,-70,-93,-74,-65,-72,-54,22.63,9.85,4,3,1,1,1,1
-105,-60,-105,-40,-105,-105,-42,-105,-105,-105,-105,-105,-105,-105,-52,-105,-105,-105,-105,-105,-45,-105,-37,-105,-69,-74,-56,-105,-46,-63,-105,-42,-49,-105,-105,-105,-105,-61,-70,-68,-73,-105,-77,-65,-72,-66,23.83,11.05,4,3,1,1,1,1
-105,-60,-105,-40,-105,-105,-42,-105,-105,-105,-105,-105,-105,-105,-52,-105,-105,-105,-105,-105,-45,-105,-37,-105,-69,-74,-56,-105,-46,-63,-105,-42,-49,-105,-105,-105,-105,-61,-70,-68,-73,-105,-77,-65,-72,-66,23.83,9.85,4,3,1,1,1,1
-105,-96,-105,-38,-105,-105,-53,-105,-105,-43,-105,-105,-105,-105,-50,-105,-105,-102,-105,-105,-92,-101,-92,-105,-58,-97,-46,-105,-44,-56,-83,-39,-43,-105,-73,-69,-105,-52,-58,-68,-105,-77,-70,-55,-105,-57,25.03,11.05,4,3,1,1,1,1
-105,-105,-105,-39,-105,-105,-52,-105,-105,-43,-105,-105,-105,-105,-51,-105,-105,-105,-105,-105,-105,-105,-105,-105,-56,-105,-45,-105,-41,-55,-83,-38,-42,-105,-72,-68,-105,-51,-57,-66,-105,-76,-70,-53,-105,-57,25.03,9.85,4,3,1,1,1,1
-105,-105,-105,-40,-105,-105,-45,-105,-25,-105,-105,-105,-105,-105,-105,-105,-105,-53,-105,-52,-46,-105,-45,-105,-62,-76,-56,-105,-51,-48,-105,-33,-52,-105,-79,-71,-105,-61,-66,-74,-75,-105,-71,-65,-76,-61,26.23,11.05,4,3,1,1,1,1
-101,-105,-69,-47,-105,-64,-55,-105,-46,-65,-105,-102,-72,-105,-105,-105,-100,-88,-105,-52,-49,-101,-42,-105,-68,-70,-52,-104,-51,-54,-103,-46,-53,-105,-96,-90,-103,-63,-65,-74,-75,-105,-94,-68,-76,-57,26.23,9.85,4,3,1,1,1,1
-105,-105,-55,-47,-105,-44,-52,-105,-41,-46,-105,-62,-56,-105,-105,-105,-105,-62,-105,-50,-51,-52,-44,-105,-60,-59,-48,-83,-45,-50,-82,-40,-45,-105,-74,-58,-80,-54,-58,-105,-68,-105,-105,-63,-66,-57,27.43,11.05,4,3,1,1,1,1
-105,-54,-48,-43,-105,-105,-45,-105,-105,-48,-105,-105,-49,-105,-51,-105,-105,-105,-105,-105,-51,-105,-50,-105,-105,-62,-57,-105,-47,-71,-105,-56,-52,-105,-69,-60,-105,-70,-65,-105,-63,-105,-66,-66,-105,-66,27.43,9.85,4,3,1,1,1,1
-105,-77,-47,-51,-105,-69,-48,-105,-72,-44,-105,-85,-72,-105,-74,-105,-105,-105,-105,-105,-47,-105,-78,-105,-105,-62,-63,-105,-44,-68,-105,-54,-49,-105,-73,-56,-95,-64,-65,-86,-65,-105,-67,-59,-88,-72,28.63,11.05,4,3,1,1,1,1
-105,-105,-47,-59,-105,-32,-50,-105,-39,-38,-105,-54,-105,-105,-105,-105,-105,-105,-105,-105,-42,-105,-105,-105,-105,-65,-72,-105,-43,-66,-105,-52,-48,-105,-69,-52,-84,-57,-65,-67,-68,-105,-69,-53,-70,-79,28.63,9.85,4,3,1,1,1,1
-105,-105,-43,-44,-105,-52,-53,-105,-105,-105,-105,-105,-56,-105,-105,-105,-105,-105,-105,-105,-105,-56,-59,-105,-105,-69,-55,-105,-42,-67,-105,-62,-66,-105,-75,-55,-105,-70,-105,-72,-65,-105,-64,-65,-105,-65,28.63,8.05,4,3,1,1,1,1
-105,-105,-43,-44,-105,-52,-53,-105,-105,-105,-105,-105,-56,-105,-105,-105,-105,-105,-105,-105,-105,-56,-59,-105,-105,-69,-55,-105,-42,-67,-105,-62,-66,-105,-75,-55,-105,-70,-105,-72,-65,-105,-64,-65,-105,-65,29.83,11.05,4,3,1,1,1,1
-103,-105,-53,-105,-105,-42,-103,-105,-105,-49,-105,-105,-52,-105,-55,-105,-105,-57,-105,-51,-104,-54,-105,-105,-62,-50,-67,-83,-42,-58,-87,-47,-47,-105,-68,-55,-77,-62,-56,-63,-63,-70,-59,-59,-64,-75,29.83,9.85,4,3,1,1,1,1
-105,-97,-68,-86,-105,-64,-84,-105,-105,-51,-105,-90,-70,-105,-73,-105,-105,-73,-105,-70,-89,-53,-90,-105,-68,-55,-63,-90,-42,-62,-93,-52,-65,-105,-69,-60,-78,-78,-65,-63,-64,-71,-60,-60,-68,-73,29.83,8.05,4,3,1,1,1,1
-105,-66,-69,-61,-105,-58,-56,-105,-70,-47,-105,-88,-68,-105,-69,-105,-105,-105,-105,-105,-87,-87,-91,-105,-68,-60,-58,-105,-38,-63,-92,-54,-67,-105,-69,-60,-74,-74,-66,-59,-61,-67,-61,-61,-63,-77,31.03,11.05,4,3,1,1,1,1
-105,-52,-105,-105,-105,-105,-46,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-50,-105,-71,-105,-105,-61,-69,-105,-36,-55,-105,-51,-47,-105,-105,-66,-79,-69,-67,-62,-62,-70,-105,-66,-61,-105,31.03,9.85,4,3,1,1,1,1
-105,-52,-105,-105,-105,-105,-46,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-50,-105,-71,-105,-105,-61,-69,-105,-36,-55,-105,-51,-47,-105,-105,-66,-79,-69,-67,-62,-62,-70,-105,-66,-61,-105,31.03,8.05,4,3,1,1,1,1
-105,-59,-49,-105,-105,-33,-59,-105,-38,-41,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-56,-52,-68,-105,-72,-63,-64,-105,-37,-105,-105,-62,-57,-105,-67,-61,-105,-56,-60,-66,-105,-105,-57,-64,-105,-76,32.23,11.05,4,3,1,1,1,1
-105,-105,-50,-61,-105,-36,-63,-105,-44,-39,-105,-105,-48,-105,-105,-105,-105,-54,-105,-105,-48,-105,-60,-105,-66,-61,-67,-105,-46,-59,-105,-61,-48,-105,-66,-64,-105,-67,-72,-105,-65,-66,-56,-60,-62,-78,32.23,9.85,4,3,1,1,1,1
-105,-105,-47,-82,-105,-105,-43,-105,-46,-49,-105,-78,-76,-105,-90,-105,-105,-105,-77,-77,-52,-51,-105,-105,-105,-54,-91,-105,-41,-50,-105,-76,-80,-105,-105,-75,-86,-84,-72,-67,-63,-60,-56,-58,-84,-92,32.23,8.05,4,3,1,1,1,1
-105,-105,-87,-87,-105,-38,-78,-105,-91,-105,-105,-84,-53,-105,-105,-105,-94,-82,-105,-105,-80,-81,-105,-105,-65,-53,-67,-99,-37,-56,-105,-48,-51,-105,-87,-56,-87,-77,-91,-62,-58,-86,-57,-58,-80,-74,33.43,11.05,4,3,1,1,1,1
-87,-56,-86,-79,-105,-84,-53,-105,-86,-84,-105,-105,-88,-105,-90,-105,-105,-105,-105,-86,-59,-105,-92,-105,-64,-90,-91,-98,-43,-61,-105,-52,-45,-105,-67,-60,-71,-56,-90,-62,-89,-79,-56,-78,-57,-78,33.43,9.85,4,3,1,1,1,1
-105,-105,-105,-85,-105,-33,-54,-105,-78,-60,-105,-84,-87,-105,-105,-105,-105,-84,-105,-105,-87,-52,-105,-105,-80,-59,-65,-105,-44,-59,-105,-58,-63,-105,-73,-56,-69,-93,-91,-65,-57,-70,-65,-62,-61,-92,33.43,8.05,4,3,1,1,1,1
-74,-76,-105,-82,-105,-44,-58,-105,-75,-42,-105,-84,-53,-105,-68,-105,-105,-105,-105,-78,-81,-78,-85,-105,-69,-56,-72,-105,-46,-64,-105,-60,-55,-105,-70,-63,-72,-63,-87,-65,-63,-73,-62,-63,-63,-92,34.63,11.05,4,3,1,1,1,1
-56,-81,-75,-105,-105,-39,-58,-105,-48,-37,-105,-105,-80,-85,-51,-105,-105,-80,-105,-79,-105,-78,-66,-105,-55,-83,-74,-92,-47,-64,-105,-58,-44,-105,-89,-63,-75,-58,-64,-67,-87,-72,-63,-66,-62,-90,34.63,9.85,4,3,1,1,1,1
-105,-105,-105,-57,-105,-45,-105,-105,-46,-52,-105,-105,-105,-105,-105,-105,-105,-105,-105,-52,-105,-54,-105,-105,-81,-58,-105,-105,-46,-56,-105,-57,-65,-105,-70,-66,-76,-79,-78,-69,-64,-73,-70,-71,-105,-82,34.63,8.05,4,3,1,1,1,1
-105,-105,-105,-57,-105,-45,-105,-105,-46,-52,-105,-105,-105,-105,-105,-105,-105,-105,-105,-52,-105,-54,-105,-105,-81,-58,-105,-105,-46,-56,-105,-57,-65,-105,-70,-66,-76,-79,-78,-69,-64,-73,-70,-71,-105,-82,35.83,11.05,4,3,1,1,1,1
-54,-105,-52,-105,-105,-105,-105,-105,-60,-39,-105,-105,-58,-105,-42,-54,-105,-105,-105,-105,-55,-55,-105,-105,-52,-56,-71,-105,-49,-60,-105,-53,-40,-105,-105,-54,-105,-53,-58,-72,-65,-105,-67,-68,-105,-73,35.83,9.85,4,3,1,1,1,1
-66,-105,-54,-95,-105,-89,-92,-105,-62,-47,-105,-94,-58,-105,-57,-66,-105,-99,-97,-96,-63,-53,-105,-105,-61,-65,-74,-105,-48,-59,-105,-56,-46,-105,-97,-55,-98,-59,-69,-73,-69,-98,-67,-67,-97,-80,35.83,8.05,4,3,1,1,1,1
-105,-105,-105,-105,-105,-33,-105,-105,-105,-28,-105,-105,-105,-105,-38,-105,-105,-105,-105,-105,-54,-48,-70,-105,-105,-70,-75,-105,-50,-66,-105,-51,-44,-105,-105,-60,-105,-63,-65,-105,-75,-105,-75,-74,-65,-105,37.03,11.05,4,3,1,1,1,1
-105,-105,-105,-105,-105,-33,-105,-105,-105,-28,-105,-105,-105,-105,-38,-105,-105,-105,-105,-105,-54,-48,-70,-105,-105,-70,-75,-105,-50,-66,-105,-51,-44,-105,-105,-60,-105,-63,-65,-105,-75,-105,-75,-74,-65,-105,37.03,9.85,4,3,1,1,1,1
-105,-51,-105,-55,-105,-105,-105,-105,-42,-38,-105,-105,-105,-105,-48,-49,-105,-105,-105,-105,-105,-49,-105,-105,-61,-70,-77,-105,-51,-55,-105,-56,-40,-105,-78,-62,-68,-64,-105,-105,-105,-105,-105,-105,-105,-76,38.23,11.05,4,3,1,1,1,1
-105,-56,-105,-80,-105,-71,-105,-105,-61,-35,-105,-96,-105,-105,-49,-55,-105,-105,-105,-105,-85,-53,-105,-105,-62,-80,-86,-105,-52,-61,-105,-58,-41,-105,-86,-71,-67,-61,-85,-105,-105,-98,-105,-105,-105,-91,38.23,9.85,4,3,1,1,1,1
-105,-62,-105,-105,-105,-36,-105,-105,-105,-30,-105,-61,-105,-105,-47,-53,-105,-105,-105,-105,-64,-56,-105,-105,-66,-77,-105,-105,-53,-66,-105,-64,-44,-105,-105,-80,-67,-66,-65,-105,-105,-80,-105,-105,-105,-105,39.43,11.05,4,3,1,1,1,1
-59,-93,-79,-105,-105,-87,-70,-105,-105,-26,-105,-96,-105,-105,-41,-55,-105,-105,-105,-105,-97,-53,-105,-105,-67,-82,-105,-105,-56,-65,-105,-63,-41,-105,-105,-98,-67,-65,-97,-105,-105,-82,-105,-85,-105,-105,39.43,9.85,4,3,1,1,1,1
-47,-105,-69,-105,-105,-105,-61,-105,-105,-25,-105,-105,-105,-105,-39,-56,-105,-105,-105,-105,-105,-48,-105,-105,-67,-81,-105,-105,-57,-65,-105,-63,-41,-105,-105,-105,-63,-64,-105,-105,-105,-80,-105,-78,-105,-105,40.63,11.05,4,3,1,1,1,1
-44,-54,-105,-79,-105,-105,-105,-105,-105,-34,-105,-105,-105,-56,-46,-105,-105,-105,-105,-105,-105,-105,-105,-105,-66,-105,-105,-105,-64,-63,-105,-60,-48,-105,-105,-105,-105,-57,-73,-105,-82,-105,-105,-76,-72,-105,40.63,9.85,4,3,1,1,1,1
